laptops_href,productname,price,detail_product,photo_url,rating
https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g3-ultra-book-core-i5-6th-gen-8gb-ram-256gb-ssd-i421768346-s1994423006.html?search=1,"Daraz Like New Laptops - HP EliteBook 840 G3 Ultra Book Core i5 6th Gen 8GB RAM, 256GB SSD","Rs. 54,999","Model: HP EliteBook 840 G3 Ultra BookProcesser: Intel core i5Generation: 6thProcessor Type: Core i5-6th GenerationRam: 8GBStorage: 256GB SSD DriveGraphics card: INTEL HDCharger is also included with the laptopScreen size: 14.1 inches Led DisplayGraphics Card Details: Intel Integrated GraphicsWIFI: YesBluetooth: Yes6 Months Warranty (T&C apply)Daraz Like New products are in Good Condition. They feel like new.Fully functional with all features working, with minimal scratches, minor usage but no damage.A preinstalled Operating SystemProduct will be in Daraz Like New Original PackagingWarranty is void in the event of improper use, negligence and forceful damage by the customer.Warranty means repair or replacement warranty.Any issues related to Operating systems and drivers must be claimed through warranty.Proof of Purchase must be required for warranty claim.Battery backup up to 1.5hours minimum backup committed.Warranty does not cover burned, broken deformed, water damage, sound distortion.No display / screen, Keyboard & buttons warranty.Warranty will be void if security sticker seals are removed.Specifications of Daraz Like New Laptops - HP EliteBook 840 G3 Ultra Book Core i5 6th Gen 8GB RAM, 256GB SSD Brand  HP SKU  421768346_PK-1994423006 Generation  Others Memory Type  8 GB RAM Graphics Memory  Not Specified Storage Speed  Not ApplicableWhat’s in the box1x Laptop 1x Charger",https://static-01.daraz.pk/p/6ffcc462502434b8e4722e28f9bdcaa2.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/7490-14-hd-10-8gb-i5-8250u-ghz-i269376203-s1483352716.html?search=1,Dell Latitude 7490 14'' HD Intel Core i5-8250U 1.60GHz 8GB 256GB SSD Windows 10 pro,"Rs. 63,999","Intel Core i5-8250U Processor (Quad Core, 6M Cache, 1.6GHz,15W, vPro)8GB, 1x8GB, 2400MHz DDR4 Memory M.2 256GB SATA Class 20 Solid State Drive14.1"" HD Internal English Keyboard, Backlit, 60 Whr Express Charge Capable (4-cell)Anti-Glare, HD CAM/Mic, WWAN/WLAN, Mag Alloy back, Non Touch Intel Dual-Band Wireless-AC 8265 Wi-Fi + BT 4.2 Wireless Card (2x2)Windows 10 Pro 64bit PROCESSOR / CHIPSETCPUIntel Core i5 (8th Gen) 8350U / 1.6 GHzMax Turbo Speed3.4 GHzNumber of CoresQuad-CoreCache6 MB64-bit ComputingYesFeaturesIntel Turbo Boost Technology 2.0CACHE MEMORYInstalled Size6 MBRAMMemory Speed2400 MHzConfiguration Features1 x 8 GBTechnologyDDR4 SDRAMInstalled Size8 GBRated Memory Speed2400 MHzSTORAGEInterfaceSerial ATAMEMORYMax Supported Size32 GBTechnologyDDR4 SDRAMSpeed2400 MHzForm FactorSO-DIMM 260-pinSlots Qty2Empty Slots1DISPLAYLCD Backlight TechnologyWLED backlightResolution1366x720Widescreen DisplayYesImage Aspect Ratio16:9Monitor Features25 ms response rate, anti-glareTypeLEDDiagonal Size (metric)35.6 cmDisplay Resolution AbbreviationHDAUDIO & VIDEOGraphics ProcessorIntel UHD Graphics 620SoundStereo speakers, array microphoneAudio CodecRealtek ALC3246HARD DRIVETypeSSDSSD Form FactorM.2 2280Capacity256 GBHard Drive FeaturesClass 20INPUTTypekeyboard, pointing stick, touchpadFeaturesmulti-touch touchpadCOMMUNICATIONSWireless Protocol802.11a/b/g/n/ac, Bluetooth 4.2Wireless ControllerIntel Dual Band Wireless-AC 8265Wired ProtocolGigabit EthernetOPTICAL STORAGEDrive Typeno optical driveTypenonePROCESSORCPU TypeCore i5Processor Numberi5-8350UGeneration8ManufacturerIntelClock Speed1.6 GHzCARD READERTypecard readerSupported Flash MemorySD Memory CardBATTERYCapacity60 WhCells4-cellTechnologylithium polymerAC ADAPTERInputAC 120/230 V (50/60 Hz)Output65 Watt, 19.5 V, 3.34 ACONNECTIONS & EXPANSIONInterfacesHeadphone/microphone combo jack2 x USB 3.1 Gen 1USB-C/DisplayPortLANHDMIUSB-C 3.1 Gen 1 (PowerShare)Memory Card ReaderYes (SD Card)HEADERBrandDellProduct LineDell LatitudeModel7490Packaged Quantity1MISCELLANEOUSCase Materialmagnesium alloySecurityTrusted Platform Module (TPM 2.0) Security ChipFeaturesExpressChargeCompliant StandardsFIPS 140-2, TCG CertifiedIncluded Accessoriespower adapterTheft/Intrusion Protectionsecurity lock slot (cable lock sold separately)Security Slot TypeNoble Wedge security slotNETWORKINGData Link ProtocolBluetooth 4.2, Ethernet, Fast Ethernet, Gigabit Ethernet, IEEE 802.11a, IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11nWireless NICIntel Dual Band Wireless-AC 8265MONITORDiagonal Size14 inImage Brightness200 cd/m2SYSTEMNotebook TypenotebookPlatformWindowsHard Drive Capacity256 GBEmbedded SecurityTrusted Platform Module (TPM 2.0) Security ChipDIMENSIONS & WEIGHTWidth13 inDepth8.7 inHeight0.7 inAUDIO OUTPUTCompliant StandardsHigh Definition AudioENVIRONMENTAL STANDARDSENERGY STAR CertifiedYesPHYSICAL CHARACTERISTICSWeight3.09 lbsOPERATING SYSTEM / SOFTWAREOS Provided: TypeWindows 10 Pro 64-bit EditionTypeVIDEO OUTPUTGraphics ProcessorIntel UHD Graphics 620Graphics Processor SeriesIntel UHD GraphicsINPUT DEVICEBacklightYesINTERFACESUSB-C Ports Qty1CommentPowerShareGENERALManufacturerDell, Inc.Specifications of Dell Latitude 7490 14'' HD Intel Core i5-8250U 1.60GHz 8GB 256GB SSD Windows 10 pro Brand  Dell SKU  269376203_PK-1483352716What’s in the box1 x laptop",https://static-01.daraz.pk/p/89bf729e71395832f9a5b4d272df2fd7.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g4-laptop-core-i5-7th-gen-8gb-ram-256gb-ssd-141-inches-hd-windows-11-home-i362767212-s1859418889.html?search=1,Daraz Like New Laptops - HP EliteBook 840 G4 Laptop (Core i5 7th Gen 8GB RAM 256GB SSD 14.1 inches HD Windows 11 Home),"Rs. 65,999","HP EliteBook 840 G4 LaptopIntel® Core i5 – 7th Generation Processor,8GB Ram256GB SSD DriveIntel® HD Graphics14-inches Display ScreenWebcam, Wi-Fi6 Months Warranty (T&C apply)Daraz Like New products are in Good Condition. They feel like new.Fully functional with all features working, with minimal scratches, minor usage but no damage.A preinstalled operating systemProduct will be in Daraz Like New Original PackagingWarranty is void in the event of improper use, negligence and forceful damage by the customer.Warranty means repair or replacement warranty.Any issues related to windows/ Operating systems and drivers must be claimed through warranty.Proof of Purchase must be require for warranty claim.Warranty does not cover burned, broken deformed, water damage, sound distortion.No display / screen, touch, keyboard & buttons warranty.Warranty will be void if security sticker / seals are removed.Battery Backup: 1.5 hours (90 minutes) battery backupCharger may not be original but compatibleProduct will be in Daraz Like New Original PackagingSpecifications of Daraz Like New Laptops - HP EliteBook 840 G4 Laptop (Core i5 7th Gen 8GB RAM 256GB SSD 14.1 inches HD Windows 11 Home) Brand  HP SKU  362767212_PK-1859418889 Generation  7th Memory Type  8 GB RAM Graphics Memory  Intel HD Storage Speed  256 GB ROM Warranty Policy EN  6 Months Software & Service + 45 Days Battery WarrantyWhat’s in the boxLaptop, Charger & Warranty Card",https://static-01.daraz.pk/p/2d25698ee6316bd739e115d14a9fdb13.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-3189-4gb-ram-16gb-storage-chrome-os-i421767372-s1994421228.html?search=1,"Daraz Like New Laptops - Dell Chromebook 3189 - 4GB RAM, 16GB Storage, Chrome OS","Rs. 17,999","Brand: DellSeries: ?Dell 3189 Convertible Chromebook4GB RAM16 GB eMMC SSD storageProcessor: ?2.48 GHz celeron_3865uChrome OSPlaystore SupportedTouch Screen 11.6? Screen 360-degree Hinge2-in-1 Laptop/TabletBest for Online ClassesIntel Dual Band Wireless-AC 7265 802.11AC Wi-Fi 3-cell battery6 Months Warranty (T&C apply)Daraz Like New products are in Good Condition. They feel like new.Fully functional with all features working, with minimal scratches, minor usage but no damage.A preinstalled Chrome Operating SystemProduct will be in Daraz Like New Original PackagingWarranty is void in the event of improper use, negligence and forceful damage by the customer.Warranty means repair or replacement warranty.Any issues related to Operating systems and drivers must be claimed through warranty.Proof of Purchase must be required for warranty claim.Battery backup up to 1.5hours minimum backup committed.Warranty does not cover burned, broken deformed, water damage, sound distortion.No display / screen, Keyboard & buttons warranty.Warranty will be void if security sticker seals are removed.Specifications of Daraz Like New Laptops - Dell Chromebook 3189 - 4GB RAM, 16GB Storage, Chrome OS Brand  Dell SKU  421767372_PK-1994421228 Generation  Others Memory Type  8 GB RAM Graphics Memory  Not Specified Storage Speed  Not ApplicableWhat’s in the box1x Laptop 1x Charger",https://static-01.daraz.pk/p/71f8097106d3cacee20db22985ffb7d6.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/toshiba-laptop-core-i3-3rd-generation-satellite-pro-c40-a-14-inches-4gb-ram-320gb-hard-drive-i421654162-s1995975179.html?search=1,Toshiba Laptop Core i3 3rd Generation | Satellite Pro C40-A | 14 Inches | 4GB Ram - 320GB Hard Drive,"Rs. 23,500","Processor:                  Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz 2.40 GHzOperating System:    4GB RamHard disk:                   320GB Hard DriveDisplay:                       14 InchesInterfaces:                   1 × external microphone                                      1 × headphone (stereo)                                      1 × HDMI-out supporting 1080p signal format                                      2 × USB 2.0                                      1 × integrated 0.9MP HD Web Camera (1,280 x 720) with built-in microphone                                      1 × USB 3.0                                      1 × Multi-Card Reader (supports SD™ Card up to 2 GB, miniSD™/microSD™ Card with adapter up to 2 GB, SDHC™ Card up to 32 GB and MultiMedia Card™ up to 2 GB)Wireless communication: Compliancy :                 Wi-Fi®Network Support :        802.11b/g/n (up to 150Mbps)Wireless Technology : Wireless LANWireless Technology : Bluetooth® 4.0 + LESound system:built-in stereo speakers, enhanced by DTS® Studio Sound™volume dial : by hot key functionKeyboard: Windows keys : Yesspecial features : Flat black matt keyboardAC adapter: input voltage : autosensing AC adapter (100/240 V) for worldwide usageoutput voltage : 19 Voutput current : 3.95 APhysical dimensions: W x L x H : 340.0 x 232.0 x 27.9 (front) / 32.5 (rear) mmweight : starting at 2.1 kgBundled hardware:AC adapterSecurity features: slot for Kensington Cable LockHDD password on requestsupervisor passworduser passwordSpecial features: Enhanced Intel® SpeedStep® TechnologyENERGY STAR qualified computerSM BIOS compliantHD Audio supportingProcessor:                  Intel(R) Core(TM) i3-3110M CPU @ 2.40GHz 2.40 GHz
Operating System:    4GB Ram
Hard disk:                   320GB Hard Drive
Display:                       14 Inches
Interfaces:                   1 × external microphone
                                      1 × headphone (stereo)
                                      1 × HDMI-out supporting 1080p signal format
                                      2 × USB 2.0
                                      1 × integrated 0.9MP HD Web Camera (1,280 x 720) with built-in microphone
                                      1 × USB 3.0
                                      1 × Multi-Card Reader (supports SD™ Card up to 2 GB, miniSD™/microSD™ Card with adapter up to 2 GB, SDHC™ Card up to 32 GB and MultiMedia Card™ up to 2 GB)
Wireless communication:
Compliancy :                 Wi-Fi®
Network Support :        802.11b/g/n (up to 150Mbps)
Wireless Technology : Wireless LAN
Wireless Technology : Bluetooth® 4.0 + LE
Sound system: built-in stereo speakers, enhanced by DTS® Studio Sound™
volume dial : by hot key function
Keyboard: Windows keys : Yes
special features : Flat black matt keyboard
AC adapter: input voltage : autosensing AC adapter (100/240 V) for worldwide usage
output voltage : 19 V
output current : 3.95 A
Physical dimensions: W x L x H : 340.0 x 232.0 x 27.9 (front) / 32.5 (rear) mm
weight : starting at 2.1 kg
Bundled hardware : AC adapter
Security features: slot for Kensington Cable Lock
HDD password on request
supervisor password
user password
Special features: Enhanced Intel® SpeedStep® Technology
ENERGY STAR qualified computer
SM BIOS compliant
HD Audio supportingSpecifications of Toshiba Laptop Core i3 3rd Generation | Satellite Pro C40-A | 14 Inches | 4GB Ram - 320GB Hard Drive Brand  Toshiba SKU  421654162_PK-1995975179 Display Size  Below 32 Inches Memory Type  4GB Ram - 320GB Hard Drive Storage Speed  4GB DDR3 RAM Battery Type  4400mAh 6 cells No. of Battery Cells  6 Backlit Keyboard  No No. of USB 2.0 Ports  2 No. of USB 3.0 Ports  1 Input Output ports  HDMI No. of USB 3.1 Ports  NULL AC Adapter  Yes No. of HDMI Ports  1 No. of VGA Ports  1 Graphic Card  Intel Card Reader  2-in-1 Dimensions  W x L x H : 328 x 224.8 x 18.9 mm Processor  Intel Core i3 Hard Disk (GB)  320GB CPU Speed (GHz)  2.4 Operating System  Windows Screen Resolution  1,920 x 1,080 Graphics Memory  See Description CPU Manufacturer  Intel storage_capacity_new  320GB Wireless Connectivity  WIFI + Bluetooth Processor Type  Intel Core i3 Express delivery  LahoreWhat’s in the box1x Toshiba Core i3 3rd Generation Laptop with Charger",https://static-01.daraz.pk/p/32228c42d6dd4cdb14185478865d738e.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/daraz-like-new-laptops-acer-chromebook-r11-360-touchscreen-116-quad-n3150-4gb-16gb-ssd-touch-screen-free-laptop-bag-i427371496-s2029330324.html?search=1,"Daraz Like New Laptops - Acer Chromebook R11 360 Touchscreen 11.6"" Quad N3150 4GB 16GB SSD Touch Screen (FREE LAPTOP BAG)","Rs. 14,999","6 Months Warranty (T&C apply)Warranty Center Location: KarachiDaraz Like New products are in Good  Condition. They look and feel like new.Very minimal to no scratches (but no discolouration)Fully functionalA preinstalled operating systemProduct will be in Daraz Like New Original Packaging Acer Chromebook N15Q8With PLAYSTOREProcessor: Intel Celeron N3060Graphics adapter: Intel HD Graphics 400 (Braswell)RAM Memory: 4GBDisplay: 11.6 inch Touchscreen 16:9, 1366 x 768 pixel 135 PPI, Capacitive, LEDTouchscreen YesStorage 16 GB eMMC Flash, 16GBConnections: 2 USB 3.0 / 3.1 Gen1, 1 HDMI, Audio Connections: 3.5mm, Card Reader: SDNetworking: Intel Wireless-AC 7265 (a/b/g/n = Wi-Fi 4/ac = Wi-Fi 5), Bluetooth 4.1Battery: Lithium-Ion, 3-cell, Battery runtime (according to manufacturer): 6 to 8 hOperating System: Google Chrome OSCamera: Webcam: HDAdditional features: Speakers: Stereo, Keyboard: ChicletPubG and Latest Android Games Supported.Long Battery LifeSlim and Sytlish LookPubG lite Supported

Specifications of Daraz Like New Laptops - Acer Chromebook R11 360 Touchscreen 11.6"" Quad N3150 4GB 16GB SSD Touch Screen (FREE LAPTOP BAG) Brand  Acer SKU  427371496_PK-2029330324 Generation  Others Memory Type  4 GB RAM Graphics Memory  nill Storage Speed  16 GB ROM Warranty Policy EN  6 Months Software & Service + 45 Days Battery WarrantyWhat’s in the boxlaptop and warranty card",https://static-01.daraz.pk/p/5ea512216c475cba26082705d4c02efb.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/e5450-5th-i5-8gb-ddr3l-i5-5300u-gb-hdd-10-i269383045-s1483364310.html?search=1,Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 4GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro,"Rs. 39,999","Processor: Intel Core 5th Generation i5-5300U Processor (3M Cache, up to 2.90 GHz)14.0 inch HD (1366x768) Anti-Glare LCD; Integrated webcam500 GB SATA Hard Drive (7200 RPM);4GB 1600MHz DDR3L MemoryIntel Dual Band Wireless-AC 7265AC 802.11ac/a/b/g/n 2x2 + Bluetooth 4.0 LE Half Mini CardWindows 10 Pro (64Bit) SPECSGENERALPackaged Quantity1Platform TechnologyIntel vPro TechnologyEmbedded SecurityTrusted Platform Module (TPM) Security ChipOperating SystemMicrosoft Windows 10 Professional 64-bit Edition + Windows 8.1 Pro 64-bit LicenseManufacturerDell, Inc.PROCESSOR / CHIPSETCPUIntel Core i5 (5th Gen) 5300U / 2.3 GHzMax Turbo Speed2.9 GHzNumber of CoresDual-CoreCacheL3 - 3 MB64-bit ComputingYesFeaturesIntel Turbo Boost Technology 2.0CACHE MEMORYTypeL3 cacheInstalled Size3 MBRAMMemory Speed1600 MHzConfiguration Features1 x 4 GBTechnologyDDR3L SDRAMInstalled Size4 GBMEMORYTechnologyDDR3L4SDRAMSpeed1600 MHzForm FactorSO-DIMM 204-pinSlots Qty2Empty Slots1DISPLAYLCD Backlight TechnologyWLED backlightResolution1366 x 768 (HD)Widescreen DisplayYesImage Aspect Ratio16:9Monitor Featuresanti-glareTypeLEDDiagonal Size (metric)35.6 cmDisplay Resolution AbbreviationHDHARD DRIVESpindle Speed7200 rpmTypeHDDCapacity500 GBAUDIO & VIDEOGraphics ProcessorIntel HD Graphics 5500SoundSpeakersINPUTTypekeyboard, touchpadFeaturesmulti-touch touchpadCOMMUNICATIONSWireless Protocol802.11a/b/g/n/ac, Bluetooth 4.0Wireless ControllerIntel Dual Band Wireless-AC 7265Wired ProtocolGigabit EthernetOPTICAL STORAGEDrive Typeno optical driveTypenonePROCESSORCPU TypeCore i5Processor Numberi5-5300UGeneration5ManufacturerIntelClock Speed2.3 GHzCARD READERTypecard readerSupported Flash MemorySD Memory CardBATTERYCapacity51 WhCells4-cellTechnologylithium polymerAC ADAPTERInputAC 120/230 V (50/60 Hz)Output65 WattCONNECTIONS & EXPANSIONInterfacesLAN3 x USB 3.0Headphone/microphone combo jackVGAHDMIMemory Card ReaderYes (SD Card)HEADERBrandDellProduct LineDell LatitudeModelE5450Packaged Quantity1CompatibilityPCNETWORKINGData Link ProtocolBluetooth 4.0, Ethernet, Fast Ethernet, Gigabit Ethernet, IEEE 802.11a, IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11nWireless NICIntel Dual Band Wireless-AC 7265MISCELLANEOUSCase Materialglass-fiber reinforced plasticSecurityTrusted Platform Module (TPM) Security ChipFeaturesExpressCharge, Free Fall Sensor, USB PowerShare technology, security lock slot (cable lock sold separately)Compliant StandardsFIPSIncluded Accessoriespower adapterTheft/Intrusion Protectionsecurity lock slot (cable lock sold separately)Security Slot TypeKensington security slotMONITORDiagonal Size14 inSYSTEMPlatform TechnologyIntel vPro TechnologyNotebook TypenotebookPlatformWindowsHard Drive Capacity500 GBEmbedded SecurityTrusted Platform Module (TPM) Security ChipDIMENSIONS & WEIGHTWidth13.2 inDepth9.1 inHeight0.9 inENVIRONMENTAL STANDARDSENERGY STAR CertifiedYesPHYSICAL CHARACTERISTICSWeight3.99 lbsOPERATING SYSTEM / SOFTWAREOS Provided: TypeMicrosoft Windows 10 Professional 64-bit EditionTypeDell Data Protection  Encryption Personal Edition (1 Year ProSupport), Microsoft Office (Trial)VIDEO OUTPUTGraphics ProcessorIntel HD Graphics 5500Graphics Processor SeriesIntel HD GraphicsSpecifications of Dell Latitude E5450 Intel Core 5th Generation i5 i5-5300U 4GB DDR3L 500GB 7200RPM HDD Webcam Windows 10 Pro Brand  Dell SKU  269383045_PK-1483364310What’s in the box1 x laptop",https://static-01.daraz.pk/p/36bf197a9e7179cf9e8b05bda475d297.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/lenovo-intel-core-i5-10th-generation-8gb-ram-512gb-ssdhard-drive-touch-screen-360-degree-4hours-battery-backup-stylus-pen-one-year-warranty-i352003429-s1784105186.html?search=1,"Lenovo Intel Core i5-10th Generation | 8GB RAM , 512GB SSD[Hard Drive]| Touch Screen ,360 degree |4Hours+ Battery Backup| STYLUS PEN | One Year Warranty","Rs. 150,000","Brand : Lenovo Model : L13 YOGAProcessor : Intel Core i5Generation : 10thRAM :  8GB RAMSSD Hard Drive : 512GB M2TOUCH SCREEN : YESSTYLUS PEN : YES360 Degree RotationBattery Timing : 4Hours+ Battery BackupCharger is also included with the Laptop.Condition of the Laptop is 10 by 10 A++ NewScreen Size : 13.3 InchesScreen Resolution : 1920 x 1080 UHD LED2K DISPLAYWIFI : YesFREE LAPTOP BAGFREE WIRELESS MOUSEBacklit Keys: YesProcessor Speed :10th Generation Core i5-10510U QuadCore Processor (4 Cores - 8 ThreadsGraphics Card : Intel UHD Graphics Operating System : Windows 11 GenuineWARRANTY of Laptop is One MonthWARRANTY of Laptop's Battery and Charger is One YearBrand : Lenovo Model : L13 YOGAProcessor : Intel Core i5Generation : 10thRAM :  8GB RAMSSD Hard Drive : 512GB M2TOUCH SCREEN : YESSTYLUS PEN : YES360 Degree RotationBattery Timing : 4Hours+ Battery BackupCharger is also included with the Laptop.Condition of the Laptop is 10 by 10 A++ NewScreen Size : 13.3 InchesScreen Resolution : 1920 x 1080 UHD LED2K DISPLAYWIFI : YesFREE LAPTOP BAGFREE WIRELESS MOUSEBacklit Keys: YesProcessor Speed :10th Generation Core i5-10510U QuadCore Processor (4 Cores - 8 Threads
Graphics Card : Intel UHD Graphics Operating System : Windows 11 GenuineWARRANTY of Laptop is One MonthWARRANTY of Laptop's Battery and Charger is One YearSpecifications of Lenovo Intel Core i5-10th Generation | 8GB RAM , 512GB SSD[Hard Drive]| Touch Screen ,360 degree |4Hours+ Battery Backup| STYLUS PEN | One Year Warranty Brand  No Brand SKU  352003429_PK-1784105186 Display Size  Below 32 Inches Backlit Keyboard  YES No. of USB 2.0 Ports  NULL No. of USB 3.0 Ports  1 Input Output ports  HDMI No. of USB 3.1 Ports  1 AC Adapter  Yes No. of HDMI Ports  1 No. of VGA Ports  1 Graphic Card  Intel Card Reader  2-in-1 Processor  Intel Core i5 Hard Disk (GB)  512GB CPU Speed (GHz)  2-3GHz Operating System  Windows 10 Graphics Memory  INTEL UHD GRAPHICSWhat’s in the boxLaptop , Charger , Bag and a mouse",https://static-01.daraz.pk/p/3fcac462a3c249167658327f7a23ddcc.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/deii-core-i7-7th-generation-16gb-ram-512gb-ssdhard-drive-touch-screen-4hours-battery-backup-free-laptop-bag-free-wireless-mouse-i377756373-s1863905514.html?search=1,DeII Core i7-7th Generation | 16GB RAM 512GB SSD[Hard Drive]| TOUCH SCREEN | 4Hours+ Battery Backup | FREE LAPTOP BAG + FREE WIRELESS MOUSE,"Rs. 108,000","Model : DeII latitude E7280Processer : Intel Core i7 Generation : 7th  Ram : 16GB DDR4SSD Hard drive : 512GB M.2TOUCH SCREENGraphics card : INTEL HD Charger is also included with the laptopBacklit Keyboard : Yes WARRANTY : 7 DAYS Screen size : 12.5 InchesHigh volume speakersProcessor Speed: 7th Gen Intel Core i7-7600U Processor (2 Cores - 4 Threads)Graphics Card Details: Intel HD Graphics 620 with Thunderbolt 3 with Core i7 vProResolution : HD (1920 x 1080)Condition of the laptop is 10/10 A++ newWIFI : YesTouch pad : YesFREE LAPTOP BAGFREE WIRELESS MOUSEModel : DeII latitude E7280Processer : Intel Core i7 Generation : 7th  Ram : 16GB DDR4SSD Hard drive : 512GB M.2TOUCH SCREENGraphics card : INTEL HD Charger is also included with the laptopBacklit Keyboard : Yes WARRANTY : 7 DAYS Screen size : 12.5 InchesHigh volume speakersProcessor Speed: 7th Gen Intel Core i7-7600U Processor (2 Cores - 4 Threads)Graphics Card Details: Intel HD Graphics 620 with Thunderbolt 3 with Core i7 vProResolution : HD (1920 x 1080)Condition of the laptop is 10/10 A++ newWIFI : YesTouch pad : YesFREE LAPTOP BAGFREE WIRELESS MOUSESpecifications of DeII Core i7-7th Generation | 16GB RAM 512GB SSD[Hard Drive]| TOUCH SCREEN | 4Hours+ Battery Backup | FREE LAPTOP BAG + FREE WIRELESS MOUSE Brand  No Brand SKU  377756373_PK-1863905514 Display Size  Below 32 Inches Memory Type  16GB DDR4 RAM Graphics Memory  INTEL HD GRAPHICS Storage Speed  512GB M2 SSD HARD DRIVE Battery Type  4Hours+ Battery Backup No. of Battery Cells  4Hours+ Battery Backup Backlit Keyboard  YES No. of USB 2.0 Ports  1 No. of USB 3.0 Ports  1 Input Output ports  HDMI No. of USB 3.1 Ports  1 AC Adapter  Yes No. of HDMI Ports  1 No. of VGA Ports  NULL Graphic Card  Intel Card Reader  2-in-1 Dimensions  12.5 inches Processor  Intel Core i7 Hard Disk (GB)  512GB CPU Speed (GHz)  2-3GHz Operating System  Microsoft Windows 10(Genuine) Screen Resolution  Resolution : HD (1920 x 1080)What’s in the boxLaptop , Charger , bag and a Mouse",https://static-01.daraz.pk/p/cf81863339f5a6b461296b5616c31e7c.jpg_750x750.jpg_.webp,
https://www.daraz.pk/products/daraz-like-new-laptops-hp-255-g4-156-laptop-amd-a6-dual-core-processor-4gb-ram-500gb-hdd-amd-radeon-r4-graphics-dvd-rw-hdmi-bluetooth-hdmi-webcam-windows-10-i350960138-s1782322544.html?search=1,"Daraz Like New Laptops - HP 255 G4 15.6"" Laptop, AMD A6 Dual-Core Processor , 4GB RAM, 500GB HDD, AMD Radeon R4 Graphics, DVD-RW, HDMI, Bluetooth, HDMI, Webcam, Windows 10","Rs. 35,999","Brand - HP Model - HP 255 G4Processor: AMD A6 Dual-CoreRam: 4GB DDR3- SDRAMHard Drive:500GB 5400 rpm SATADisplay: 15.6"" HD DisplayGraphics: AMD Radeon R4 GraphicsOperating System: Windows 10 Pro6 Months Warranty (T&C apply)Daraz Like New products are in Good Condition. They feel like new.Fully functional with all features working, with minimal scratches, minor usage but no damage.A preinstalled operating systemProduct will be in Daraz Like New Original PackagingWarranty is void in the event of improper use, negligence and forceful damage by the customer.Warranty means repair or replacement warranty.Any issues related to windows/ Operating systems and drivers must be claimed through warranty.Proof of Purchase must be require for warranty claim.Warranty does not cover burned, broken deformed, water damage, sound distortion.No display / screen, touch, keyboard & buttons warranty.Warranty will be void if security sticker / seals are removed.Battery Backup: 1.5 hours (90 minutes) battery backupCharger may not be original but compatibleHP 255 G4 SummaryHP 255 G4 is a Windows 10 Home laptop with a 15.60-inch display that has a resolution of HD pixels. It is powered by a APU Quad Core A6 processor and it comes with 4GB of RAM. The HP 255 G4 packs 500GB of HDD storage.Connectivity options include Wi-Fi 802.11 ac, Bluetooth and it comes with 3 USB ports, HDMI Port, Multi Card Slot, VGA Port, Mic In, RJ45 (LAN) ports.HP 255 G4 Full SpecificationsGeneralBrandHPModel255 G4Model Number255 G4Dimensions (mm)254.00 x 38.00 x 24.00Weight (kg)1.86ColoursBlackOperating systemWindows 10 HomeDisplaySize15.60-inchResolutionHDTouch ScreenNoProcessorProcessorAMD APU Quad Core A6MemoryRAM4GBStorageHard disk500GBSSDNoConnectivityWi-Fi standards supported802.11 acBluetooth version4.2InputsTouchpadYesOptical Disk DriveCD/DVD ReaderFinger Print SensorNoPorts and slotsNumber of USB Ports3HDMI PortStandardMulti Card SlotSD Card ReaderVGA PortYesMic InYesRJ45 (LAN)YesSpecifications of Daraz Like New Laptops - HP 255 G4 15.6"" Laptop, AMD A6 Dual-Core Processor , 4GB RAM, 500GB HDD, AMD Radeon R4 Graphics, DVD-RW, HDMI, Bluetooth, HDMI, Webcam, Windows 10 Brand  HP SKU  350960138_PK-1782322544 Generation  Not Specified Memory Type  4 GB RAM Graphics Memory  Intel Storage Speed  Not Applicable Warranty Policy EN  6 Months Software & Service + 45 Days Battery WarrantyWhat’s in the boxLaptop, Charger & Warranty Card",https://static-01.daraz.pk/p/6738dc16265b6f1d5ec1d9f7947aed0b.jpg_750x750.jpg_.webp,
